INDEX,watershed,POPULATION_2010,S_risk,S_risk_level,S_ESTFAC_WITHIN25MI,S_GROUND_ACCEL_LOW,S_GA_LOW_MODE,S_GA_MOD,S_GA_MOD_HIGH,S_GA_HIGH ,S_% HUC_WITHIN25MILES
1,americanfalls,77212,68.29642,H,30,0.04,0.53,0.43,0,0,0.19
2,bear lake,9713,88.48,H,30,0,0,0,1,0,1
3,beaver-camas,2403,51.48504,H,6,0,0.08,0.48,0.38,0.05,0.75
4,big lost ,3998,64.06714,H,13,0,0.31,0.29,0.4,0,0.98
5,big wood,23221,69.79237,H,22,0.15,0.23,0.33,0.28,0,0.51
6,birch,18,6.8952,L,1,0,0.02,0.34,0.64,0,1
7,blackfoot,58074,97.58266,H,21,0,0,0.38,0.61,0.01,0.68
8,boise mores,3416,36.66568,M,1,0,0.17,0.83,0,0,0.16
9,brownlee reservoir,5185,51.30717,H,0,0.05,0.63,0.32,0,0,0.95
10,bruneau,670,11.8,L,0,1,0,0,0,0,0
11,c.j. strike reservoir,26527,33.4536,M,0,0.87,0.13,0,0,0,0
12,camas,1034,23.50991,M,0,0,0.51,0.49,0,0,0.11
13,central bear,135,20.72,L,2,0,0,0,1,0,1
14,clearwater,45898,36.3,M,0,1,0,0,0,0,0
15,coeur d'alene lake,34838,38.28,M,0,0.75,0.25,0,0,0,0
16,curlew valley,362,25.58693,M,2,0,0,0.53,0.47,0,1
17,east little owyhee,0,0.8928,L,0,0.71,0.29,0,0,0,0
18,goose,6613,33.0316,M,1,0.21,0.79,0,0,0,0
19,hangman,1726,17.6,L,1,1,0,0,0,0,0
20,hells canyon,21,3.569315,L,0,0.64,0.36,0,0,0,0.16
21,idaho falls,33155,90.95138,H,24,0,0.06,0.93,0.01,0,0.94
22,jordan,78,5.8,L,0,1,0,0,0,0,0
23,lake walcott,37901,44.58025,H,0,0.68,0.24,0.08,0,0,0.13
24,lemhi,1881,52.75383,H,3,0,0,0.16,0.84,0,0.93
25,little bear-logan,0,2.24,L,0,0,0,0,1,0,1
26,little lost,333,24.3125,M,1,0,0,0.32,0.68,0,1
27,little salmon,2399,43.39483,H,3,0,0.79,0.21,0,0,0.88
28,little spokane,691,12.3,L,0,1,0,0,0,0,0
29,little wood,10005,37.1922,M,0,0.43,0.37,0.2,0,0,0.09
30,lochsa,79,6.7032,L,0,0.84,0.16,0,0,0,0
31,lower bear-malad,3867,66.8876,H,8,0,0,0.23,0.77,0,1
32,lower boise,573637,67.37868,H,333,0.69,0.31,0,0,0,0.47
33,lower clark fork,1619,22.176,L,0,0.2,0.8,0,0,0,0
34,lower henrys,30196,87.08135,H,19,0,0,0.73,0.27,0,0.86
35,lower kootenai,10481,28.3,M,0,1,0,0,0,0,0
36,lower middle fork salmon,4,2.450747,L,0,0,0,0.53,0.47,0,0.12
37,lower north fork clearwater,662,11.3,L,0,1,0,0,0,0,0
38,lower salmon,1858,20.29447,L,0,0.8,0.2,0,0,0,0.08
39,lower selway,13754,29.8,M,0,1,0,0,0,0,0
40,lower snake-asotin,28,3.3,L,0,1,0,0,0,0,0
41,medicine lodge,825,32.46718,M,1,0,0.22,0.54,0.23,0,0.94
42,middle bear,14847,94.91999,H,19,0,0,0,1,0,1
43,middle fork clearwater,1598,16.3,L,0,1,0,0,0,0,0
44,middle fork payette,1350,36.14185,M,1,0,0,0.97,0.03,0,0.79
45,middle kootenai,0,0.8256,L,0,0.92,0.08,0,0,0,0
46,middle owyhee,21,2.8,L,0,1,0,0,0,0,0
47,middle salmon-chamberlain,47,6.691978,L,0,0.12,0.67,0.21,0,0,0
48,middle salmon-panter,5895,45.55093,H,0,0,0.13,0.56,0.31,0,0.27
49,middle snake-payette,11145,59.02673,H,7,0.75,0.25,0,0,0,0.97
50,middle snake-succor,18071,33.29318,M,7,1,0,0,0,0,0.01
51,moyie,925,14.3,L,0,1,0,0,0,0,0
52,north and middle forks boise,44,9.808791,L,1,0,0,0.7,0.3,0,0.52
53,north fork payette,9791,75.9384,H,24,0,0.06,0.94,0,0,1
54,pahsimeroi,255,22.68,L,1,0,0,0,1,0,1
55,palisades,761,40.9904,M,3,0,0,0.03,0.75,0.23,1
56,palouse,31487,33.8,M,0,1,0,0,0,0,0
57,payette,30522,85.13999,H,40,0.15,0.55,0.3,0,0,1
58,pend oreille,1321,15.3,L,0,1,0,0,0,0,0
59,pend oreille lake,37818,38.83,M,0,0.75,0.25,0,0,0,0
60,portneuf,86445,93.83496,H,13,0,0.03,0.58,0.39,0,0.69
61,priest,3623,21.8,L,0,1,0,0,0,0,0
62,raft,1877,28.46672,M,0,0,0.48,0.52,0,0,0.06
63,rock,36,3.8,L,0,1,0,0,0,0,0
64,salmon falls,882,14.1312,L,0,0.94,0.06,0,0,0,0
65,salt,242,23.944,M,0,0,0,0,0.4,0.6,1
66,south fork boise,261,15.40881,L,0,0,0.2,0.75,0.05,0,0.35
67,south fork clearwater,9131,26.3,M,0,1,0,0,0,0,0
68,south fork coeur d'alene,11035,40.0896,M,0,0.02,0.98,0,0,0,0
69,south fork owyhee,0,0.8,L,0,1,0,0,0,0,0
70,south fork payette,557,29.93465,M,4,0,0,0.29,0.71,0,0.76
71,south fork salmon,64,10.56845,L,0,0,0.13,0.75,0.12,0,0.47
72,st.joe,8738,29.3088,M,0,0.66,0.34,0,0,0,0
73,teton,27668,97.47731,H,32,0,0,0.48,0.52,0,1
74,uper owyhee,481,14.42,L,0,0,1,0,0,0,0
75,upper coeur d'alene,2845,67.27937,H,6,0,0,0.02,0.57,0.41,0.91
76,upper henrys,5,4.318432,L,0,0,0,0,1,0,0.5
77,upper middle fork salmon,0,0.8352,L,0,0.89,0.11,0,0,0,0
78,upper north fork clearwater,381,9.8,L,0,1,0,0,0,0,0
79,upper salmon,2856,65.31362,H,10,0,0,0,1,0,0.97
80,upper selway,0,0.8864,L,0,0.73,0.27,0,0,0,0
81,upper snake-rock,107887,40.0416,M,0,0.92,0.08,0,0,0,0
82,upper spokane,99092,43.0492,M,0,0.69,0.31,0,0,0,0
83,weiser,6771,65.93053,H,16,0,0.46,0.54,0,0,1
84,willow,6290,64.51954,H,5,0,0,0.2,0.8,0,0.73